Comment,Designator,Footprint,LCSC
"1u","C1,C2","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C2839237"
"100n","C3","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C2832508"
"10u","C4","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C2761733"
"Keystone Electronics 621","H1,H2","matterwaves:Keystone 621",""
"Conn_01x10_Pin","J1,J2","Connector_JST:JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical",""
"Conn_01x05","J4","Connector_Wire:SolderWire-0.75sqmm_1x05_P4.8mm_D1.25mm_OD2.3mm",""
"Conn_Coaxial","J6,J7,J8,J9,J10,J11","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal","C5250058"
"BS107","Q1,Q2","Package_TO_SOT_THT:TO-92_Inline","C156337"
"5R","R1","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C334308"
"47k","R2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C2857423"
"100k","R3,R4,R5,R6","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C2843019"
"100k","RV1","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","C118963"
"AD823","U1","Package_DIP:DIP-8_W7.62mm_Socket_LongPads",""